DEPT,AT10,AT90,GR,HCAL,NPHI,NPOR,RHOZ,DTCO,DTSM,DTST,PR
7214.5,1.815,0.825,84.649,8.896,0.162,0.157,2.463,74.657,130.469,268.066,0.257
7215,1.789,0.811,79.384,8.919,0.163,0.154,2.459,74.824,130.179,268.413,0.253
7215.5,1.694,0.786,79.121,8.874,0.175,0.172,2.441,74.799,130.47,268.417,0.255
7216,1.573,0.753,80.817,8.907,0.183,0.181,2.419,74.607,129.485,268.462,0.252
7216.5,1.484,0.725,82.938,8.907,0.189,0.182,2.421,74.445,129.15,268.459,0.251
7217,1.51,0.727,83.075,8.877,0.19,0.171,2.435,74.177,129.898,268.591,0.258
7217.5,1.659,0.776,76.362,8.93,0.176,0.155,2.45,74.044,129.356,268.604,0.256
7218,1.843,0.808,73.979,8.964,0.15,0.139,2.448,73.989,130.225,268.511,0.262
7218.5,1.822,0.805,70.024,8.975,0.138,0.131,2.436,73.857,130.789,268.425,0.266
7219,1.711,0.825,75.143,8.975,0.144,0.143,2.422,73.737,131.241,268.271,0.269
7219.5,1.542,0.835,80.276,9.009,0.164,0.153,2.418,73.387,129.784,267.944,0.265
7220,1.491,0.832,90.429,8.986,0.165,0.183,2.428,73.047,129.75,267.304,0.268
7220.5,1.392,0.845,95.051,9.065,0.167,0.17,2.453,72.856,129.278,267.197,0.267
7221,1.383,0.839,100.579,9.426,0.151,0.15,2.483,72.768,129.285,267.048,0.268
7221.5,1.344,0.9,101.219,9.268,0.157,0.151,2.501,72.618,128.641,266.766,0.266
7222,1.464,1.03,102.026,9.099,0.159,0.145,2.506,71.807,128.853,265.966,0.275
7222.5,1.659,1.216,97.946,9.088,0.153,0.16,2.52,71.253,128.713,265.419,0.279
7223,2.007,1.383,99.526,9.088,0.139,0.137,2.55,70.678,123.952,265.145,0.259
7223.5,2.087,1.501,101.469,9.076,0.117,0.11,2.57,70.169,123.572,264.558,0.262
7224,2.043,1.615,102.917,9.065,0.116,0.101,2.574,69.431,122.274,264.33,0.262
7224.5,2.071,1.778,100.303,9.031,0.122,0.126,2.552,68.885,120.692,264.03,0.258
7225,2.155,1.973,101.632,9.02,0.133,0.126,2.55,68.46,120.139,263.835,0.26
7225.5,2.175,2.091,106.945,9.043,0.139,0.143,2.549,67.891,119.877,263.79,0.264
7226,2.204,2.183,105.743,9.028,0.142,0.132,2.558,67.763,119.464,263.801,0.263
7226.5,2.335,2.224,100.741,9.028,0.133,0.124,2.559,67.569,119.011,263.762,0.262
7227,2.378,2.152,97.402,9.054,0.118,0.12,2.565,67.65,119.218,263.799,0.263
7227.5,2.28,1.882,97.683,9.088,0.106,0.106,2.565,67.784,119.216,263.881,0.261
7228,2.198,1.704,97.551,9.028,0.106,0.109,2.563,68.021,119.848,263.961,0.262
7228.5,2.106,1.532,95.928,9.005,0.122,0.117,2.551,68.19,119.974,264.285,0.261
7229,2.076,1.406,99.019,9.043,0.131,0.121,2.533,68.86,120.228,264.419,0.256
7229.5,2.024,1.281,103.532,9.043,0.143,0.142,2.517,69.065,120.783,264.563,0.257
7230,2.026,1.185,97.854,9.009,0.143,0.137,2.505,69.57,120.906,264.921,0.253
7230.5,1.988,1.113,92.575,8.997,0.146,0.131,2.5,70.173,121.015,265.129,0.247
7231,1.993,1.039,82.924,8.99,0.143,0.14,2.5,70.436,121.82,265.397,0.249
7231.5,2.047,0.991,80.366,8.975,0.146,0.137,2.49,71.137,122.55,265.763,0.246
7232,1.943,0.93,75.692,8.975,0.144,0.133,2.474,71.955,123.106,266.59,0.241
7232.5,1.81,0.864,72.933,8.997,0.15,0.15,2.457,72.231,123.29,266.822,0.239
7233,1.771,0.838,73.71,9.02,0.159,0.154,2.451,72.211,123.758,266.972,0.242
7233.5,1.803,0.838,73.46,9.043,0.168,0.164,2.448,72.215,124.034,267.097,0.244
7234,1.878,0.85,78.067,9.028,0.162,0.159,2.438,72.394,124.256,267.069,0.243
7234.5,1.918,0.869,78.067,9.02,0.155,0.15,2.439,72.389,124.358,267.094,0.244
7235,1.966,0.883,79.633,9.028,0.151,0.132,2.451,72.281,124.404,267.037,0.245
7235.5,1.978,0.897,79.384,9.043,0.157,0.156,2.464,72.358,124.437,266.562,0.245
7236,2.013,0.926,79.801,9.009,0.159,0.145,2.469,72.183,124.31,266.284,0.246
7236.5,1.965,0.951,85.71,9.043,0.151,0.146,2.477,72.127,125.004,266.122,0.25
7237,1.817,0.961,91.375,9.088,0.15,0.152,2.498,72.087,124.769,265.783,0.249
7237.5,1.634,0.96,101.678,9.088,0.154,0.14,2.516,71.958,124.95,265.685,0.252
7238,1.514,0.962,104.16,9.095,0.164,0.15,2.523,71.833,125.105,265.579,0.254
